BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
40:4A:03:DE:C0:D3,2016-02-27 07:12:36,2016-02-27 07:12:40,3,54,WPA2 WPA,CCMP TKIP,PSK,-60,3,14,0.  0.  0.  0,8,KitKatKo,
F6:ED:A5:62:46:40,2016-02-27 07:12:38,2016-02-27 07:12:38,11,54,OPN,,,-64,1,0,0.  0.  0.  0,11,xfinitywifi,
62:E3:27:69:E5:60,2016-02-27 07:12:38,2016-02-27 07:12:38,6,54,WPA2,CCMP,PSK,-62,1,0,0.  0.  0.  0,14,imronburgandy?,
9E:34:26:25:AC:C6,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-60,4,0,0.  0.  0.  0,0,,
AE:34:26:25:AC:C6,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,OPN,,,-60,3,0,0.  0.  0.  0,11,xfinitywifi,
A0:A3:E2:21:6C:85,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-56,4,0,0.  0.  0.  0,7,CarBear,
AA:66:7F:C5:EC:B0,2016-02-27 07:12:34,2016-02-27 07:12:43,1,54,WPA2,CCMP,PSK,-53,5,17,0.  0.  0.  0,11,Adam.Tucker,
CE:35:40:48:10:F2,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2,CCMP,PSK,-52,7,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
CC:35:40:48:10:F1,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-52,5,0,0.  0.  0.  0,10,VZ-Seattle,
CE:35:40:48:10:F3,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,OPN,,,-52,2,0,0.  0.  0.  0,11,xfinitywifi,
90:EF:68:05:51:D9,2016-02-27 07:12:35,2016-02-27 07:12:39,1,54,WPA2 WPA,CCMP TKIP,PSK,-52,1,0,0.  0.  0.  0,11,FeedTheMoon,
6C:B0:CE:76:24:9C,2016-02-27 07:12:34,2016-02-27 07:12:42,6,54,WPA2,CCMP,PSK,-48,4,0,0.  0.  0.  0,9,NETGEAR30,
8C:04:FF:ED:A9:4F,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2 WPA,CCMP TKIP,PSK,-47,5,0,0.  0.  0.  0,9,HOME-A94F,
20:4E:7F:A0:B3:82,2016-02-27 07:12:36,2016-02-27 07:12:40,8,54,WEP,WEP,,-47,4,0,0.  0.  0.  0,13,WHAT UP WAZZU,
8E:04:FF:ED:A9:40,2016-02-27 07:12:35,2016-02-27 07:12:43,1,54,WPA2,CCMP,PSK,-46,4,0,0.  0.  0.  0,12,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,
10:5F:06:72:78:35,2016-02-27 07:12:37,2016-02-27 07:12:42,11,54,WPA2 WPA,CCMP TKIP,PSK,-46,5,0,0.  0.  0.  0,15,CenturyLink5546,
