Station MAC,First time seen,Last time seen,Power,# packets,BSSID,Probed ESSIDs
90:18:7C:7A:FF:F7,2016-02-27 07:36:56,2016-02-27 07:36:56,-1,3,C0:3F:0E:09:75:A4,
A4:B8:05:88:85:95,2016-02-27 07:37:07,2016-02-27 07:37:07,-72,2,(not associated),
34:4D:F7:1C:28:C4,2016-02-27 07:37:08,2016-02-27 07:37:16,-66,5,8E:04:FF:ED:A9:41,
C0:D9:62:44:3D:E2,2016-02-27 07:37:11,2016-02-27 07:37:15,-62,15,94:44:52:F7:42:E7,
FC:C2:DE:C7:D8:32,2016-02-27 07:37:12,2016-02-27 07:37:12,-60,1,90:EF:68:05:51:D9,
6C:AD:F8:1B:99:41,2016-02-27 07:37:07,2016-02-27 07:37:07,-56,13,10:86:8C:44:07:8E,
DE:16:1F:BC:9D:D2,2016-02-27 07:37:08,2016-02-27 07:37:16,-56,8,00:25:00:FF:94:73,
F0:4F:7C:9F:C8:0D,2016-02-27 07:37:08,2016-02-27 07:37:16,-56,86,AA:66:7F:C5:EC:B0,
00:20:00:84:16:F2,2016-02-27 07:37:22,2016-02-27 07:37:22,-64,1,(not associated),
5C:AA:FD:46:39:DB,2016-02-27 07:37:27,2016-02-27 07:37:31,-64,2,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
C0:D9:62:44:3D:E2,2016-02-27 07:37:26,2016-02-27 07:37:30,-56,49,94:44:52:F7:42:E7,
F0:4F:7C:9F:C8:0D,2016-02-27 07:37:27,2016-02-27 07:37:31,-58,82,AA:66:7F:C5:EC:B0,
DE:16:1F:BC:9D:D2,2016-02-27 07:37:23,2016-02-27 07:37:27,-56,5,00:25:00:FF:94:73,
6C:AD:F8:1B:99:41,2016-02-27 07:37:22,2016-02-27 07:37:30,-54,137,10:86:8C:44:07:8E,
5C:AA:FD:6D:10:D1,2016-02-27 07:37:26,2016-02-27 07:37:30,-40,2,(not associated),Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
5C:AA:FD:6D:10:D0,2016-02-27 07:37:22,2016-02-27 07:37:22,-1,1,14:CC:20:C7:CE:FE,
34:4D:F7:1C:28:C4,2016-02-27 06:18:43,2016-02-27 06:18:47,-68,6,8E:04:FF:ED:A9:41,
FC:C2:DE:C7:D8:32,2016-02-27 06:18:43,2016-02-27 06:18:48,-58,2,90:EF:68:05:51:D9,
6C:AD:F8:28:07:EA,2016-02-27 06:18:45,2016-02-27 06:18:50,-54,129,C0:3F:0E:09:75:A4,
DE:16:1F:BC:9D:D2,2016-02-27 06:18:43,2016-02-27 06:18:51,-60,7,00:25:00:FF:94:73,
90:18:7C:7A:FF:F7,2016-02-27 06:18:46,2016-02-27 06:18:46,-52,1,C0:3F:0E:09:75:A4,
84:78:8B:81:DC:C4,2016-02-27 06:18:47,2016-02-27 06:18:47,-48,1,40:8B:07:23:86:B5,
D0:E1:40:9A:13:8E,2016-02-27 06:18:42,2016-02-27 06:18:51,-42,24,40:8B:07:23:86:B5,
F0:4F:7C:9F:C8:0D,2016-02-27 06:18:50,2016-02-27 06:18:51,-58,95,AA:66:7F:C5:EC:B0,
5C:AA:FD:46:39:DB,2016-02-27 06:18:50,2016-02-27 06:18:50,-64,1,(not associated),Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
5C:AA:FD:6D:10:D0,2016-02-27 06:18:50,2016-02-27 06:18:50,-1,2,14:CC:20:C7:CE:FE,
00:20:00:84:16:F2,2016-02-27 06:18:50,2016-02-27 06:18:50,-74,1,(not associated),hnetwork-2-guest
FC:FC:48:06:CD:E4,2016-02-27 06:18:51,2016-02-27 06:18:51,-1,3,40:8B:07:23:86:B5,
